Iso Code,Country Name,WHO Region,Year,Vaccine Type,Admin1,Admin2,DenomType,Denominator,Numerator,Coverage,Unprotected
VEN,Venezuela,AMRO,2016,Pol3,AMAZONAS,Alto Orinoco,,437,22,5.03,415
VEN,Venezuela,AMRO,2016,Pol3,AMAZONAS,Atabapo,,288,43,14.93,245
VEN,Venezuela,AMRO,2016,Pol3,AMAZONAS,Atures,,3172,1685,53.12,1487
VEN,Venezuela,AMRO,2016,Pol3,AMAZONAS,Autana,,306,39,12.75,267
VEN,Venezuela,AMRO,2016,Pol3,AMAZONAS,Maroa,,57,1,1.75,56
VEN,Venezuela,AMRO,2016,Pol3,AMAZONAS,Manapiare,,274,0,0.00,274
VEN,Venezuela,AMRO,2016,Pol3,AMAZONAS,Río Negro,,71,40,56.34,31
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Juan Antonio Sotillo,,5017,3170,63.19,1847
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Guanta,,649,701,108.01,-52
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Simón Bolívar,,8502,5525,64.98,2977
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Turistico Diego Bautista Urbaneja,,657,319,48.55,338
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Libertad,,344,172,50.00,172
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Píritu,,521,675,129.56,-154
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Manuel Ezequiel Bruzual,,655,292,44.58,363
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Juan Manuel Cajigal,,261,354,135.63,-93
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Francisco del Carmen Carvajal,,328,144,43.90,184
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Fernando de Peñalver,,696,502,72.13,194
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,San Juan de Capistrano,,208,147,70.67,61
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Aragua,,539,489,90.72,50
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Sir Arthur Mc Gregor,,206,107,51.94,99
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Santa Ana,,193,159,82.38,34
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Pedro María Freites,,1556,1439,92.48,117
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Anaco,,2513,1527,60.76,986
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Simón Rodríguez,,3721,1845,49.58,1876
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,San José de Guanipa,,1459,842,57.71,617
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Independencia,,685,501,73.14,184
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,Francisco de Miranda,,824,752,91.26,72
VEN,Venezuela,AMRO,2016,Pol3,ANZOÁTEGUI,José Gregorio Monagas,,370,304,82.16,66
VEN,Venezuela,AMRO,2016,Pol3,APURE,Achaguas,,1969,599,30.42,1370
VEN,Venezuela,AMRO,2016,Pol3,APURE,Biruaca,,1870,338,18.07,1532
VEN,Venezuela,AMRO,2016,Pol3,APURE,Muñoz,,854,219,25.64,635
VEN,Venezuela,AMRO,2016,Pol3,APURE,Páez,,3047,1122,36.82,1925
VEN,Venezuela,AMRO,2016,Pol3,APURE,Pedro Camejo,,1043,277,26.56,766
VEN,Venezuela,AMRO,2016,Pol3,APURE,Rómulo Gallegos,,877,237,27.02,640
VEN,Venezuela,AMRO,2016,Pol3,APURE,San Fernando,,5650,1406,24.88,4244
VEN,Venezuela,AMRO,2016,Pol3,ARAGUA,Bolívar,,617,590,95.62,27
VEN,Venezuela,AMRO,2016,Pol3,ARAGUA,Camatagua,,277,218,78.70,59
VEN,Venezuela,AMRO,2016,Pol3,ARAGUA,Girardot,,6526,4768,73.06,1758
VEN,Venezuela,AMRO,2016,Pol3,ARAGUA,José Angel Lamas,,501,392,78.24,109
VEN,Venezuela,AMRO,2016,Pol3,ARAGUA,José Félix Ribas,,2434,1862,76.50,572
VEN,Venezuela,AMRO,2016,Pol3,ARAGUA,José Rafael Revenga,,861,892,103.60,-31
VEN,Venezuela,AMRO,2016,Pol3,ARAGUA,Libertador,,1460,1300,89.04,160
VEN,Venezuela,AMRO,2016,Pol3,ARAGUA,Mario Briceño Iragorry,,1654,1243,75.15,411
VEN,Venezuela,AMRO,2016,Pol3,ARAGUA,San Casimiro,,404,786,194.55,-382
